date,season,year,month,holiday,weekday,workingday,weather_situation,temperature,humidity,casual,registered,total,Usage_Category,month_group
2011-02-02,Spring,0,Feb,0,Wed,1,Misty/Cloudy,0.26,0.775417,72,1454,1526,Very High,Q1 (Jan-Mar)
2011-02-03,Spring,0,Feb,0,Thu,1,Clear/Partly Cloudy,0.186957,0.437826,61,1489,1550,Very High,Q1 (Jan-Mar)
2011-02-04,Spring,0,Feb,0,Fri,1,Misty/Cloudy,0.211304,0.585217,88,1620,1708,Very High,Q1 (Jan-Mar)
2011-02-05,Spring,0,Feb,0,Sat,0,Misty/Cloudy,0.233333,0.929167,100,905,1005,Very High,Q1 (Jan-Mar)
2011-02-06,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,0.285833,0.568333,354,1269,1623,Very High,Q1 (Jan-Mar)
2011-02-07,Spring,0,Feb,0,Mon,1,Clear/Partly Cloudy,0.271667,0.738333,120,1592,1712,Very High,Q1 (Jan-Mar)
2011-02-08,Spring,0,Feb,0,Tue,1,Clear/Partly Cloudy,0.220833,0.537917,64,1466,1530,Very High,Q1 (Jan-Mar)
2011-02-09,Spring,0,Feb,0,Wed,1,Misty/Cloudy,0.134783,0.494783,53,1552,1605,Very High,Q1 (Jan-Mar)
2011-02-10,Spring,0,Feb,0,Thu,1,Clear/Partly Cloudy,0.144348,0.437391,47,1491,1538,Very High,Q1 (Jan-Mar)
2011-02-11,Spring,0,Feb,0,Fri,1,Clear/Partly Cloudy,0.189091,0.506364,149,1597,1746,Very High,Q1 (Jan-Mar)
2011-02-12,Spring,0,Feb,0,Sat,0,Clear/Partly Cloudy,0.2225,0.544167,288,1184,1472,Very High,Q1 (Jan-Mar)
2011-02-13,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,0.316522,0.457391,397,1192,1589,Very High,Q1 (Jan-Mar)
2011-02-14,Spring,0,Feb,0,Mon,1,Clear/Partly Cloudy,0.415,0.375833,208,1705,1913,Very High,Q1 (Jan-Mar)
2011-02-15,Spring,0,Feb,0,Tue,1,Clear/Partly Cloudy,0.266087,0.314348,140,1675,1815,Very High,Q1 (Jan-Mar)
2011-02-16,Spring,0,Feb,0,Wed,1,Clear/Partly Cloudy,0.318261,0.423478,218,1897,2115,Very High,Q1 (Jan-Mar)
2011-02-17,Spring,0,Feb,0,Thu,1,Clear/Partly Cloudy,0.435833,0.505,259,2216,2475,Very High,Q1 (Jan-Mar)
2011-02-18,Spring,0,Feb,0,Fri,1,Clear/Partly Cloudy,0.521667,0.516667,579,2348,2927,Very High,Q1 (Jan-Mar)
2011-02-19,Spring,0,Feb,0,Sat,0,Clear/Partly Cloudy,0.399167,0.187917,532,1103,1635,Very High,Q1 (Jan-Mar)
2011-02-20,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,0.285217,0.407826,639,1173,1812,Very High,Q1 (Jan-Mar)
2011-02-21,Spring,0,Feb,1,Mon,0,Misty/Cloudy,0.303333,0.605,195,912,1107,Very High,Q1 (Jan-Mar)
2011-02-22,Spring,0,Feb,0,Tue,1,Clear/Partly Cloudy,0.182222,0.577778,74,1376,1450,Very High,Q1 (Jan-Mar)
2011-02-23,Spring,0,Feb,0,Wed,1,Clear/Partly Cloudy,0.221739,0.423043,139,1778,1917,Very High,Q1 (Jan-Mar)
2011-02-24,Spring,0,Feb,0,Thu,1,Misty/Cloudy,0.295652,0.697391,100,1707,1807,Very High,Q1 (Jan-Mar)
2011-02-25,Spring,0,Feb,0,Fri,1,Misty/Cloudy,0.364348,0.712174,120,1341,1461,Very High,Q1 (Jan-Mar)
2011-02-26,Spring,0,Feb,0,Sat,0,Clear/Partly Cloudy,0.2825,0.537917,424,1545,1969,Very High,Q1 (Jan-Mar)
2011-02-27,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,0.343478,0.68,694,1708,2402,Very High,Q1 (Jan-Mar)
2011-02-28,Spring,0,Feb,0,Mon,1,Misty/Cloudy,0.407273,0.876364,81,1365,1446,Very High,Q1 (Jan-Mar)
2011-03-01,Spring,0,Mar,0,Tue,1,Clear/Partly Cloudy,0.266667,0.535,137,1714,1851,Very High,Q1 (Jan-Mar)
2011-03-02,Spring,0,Mar,0,Wed,1,Clear/Partly Cloudy,0.335,0.449583,231,1903,2134,Very High,Q1 (Jan-Mar)
2011-03-03,Spring,0,Mar,0,Thu,1,Clear/Partly Cloudy,0.198333,0.318333,123,1562,1685,Very High,Q1 (Jan-Mar)
2011-03-04,Spring,0,Mar,0,Fri,1,Misty/Cloudy,0.261667,0.610417,214,1730,1944,Very High,Q1 (Jan-Mar)
2011-03-05,Spring,0,Mar,0,Sat,0,Misty/Cloudy,0.384167,0.789167,640,1437,2077,Very High,Q1 (Jan-Mar)
2011-03-06,Spring,0,Mar,0,Sun,0,Misty/Cloudy,0.376522,0.948261,114,491,605,Very High,Q1 (Jan-Mar)
2011-03-07,Spring,0,Mar,0,Mon,1,Clear/Partly Cloudy,0.261739,0.551304,244,1628,1872,Very High,Q1 (Jan-Mar)
2011-03-08,Spring,0,Mar,0,Tue,1,Clear/Partly Cloudy,0.2925,0.420833,316,1817,2133,Very High,Q1 (Jan-Mar)
2011-03-09,Spring,0,Mar,0,Wed,1,Misty/Cloudy,0.295833,0.775417,191,1700,1891,Very High,Q1 (Jan-Mar)
2011-03-10,Spring,0,Mar,0,Thu,1,Light Snow/Rain,0.389091,0.0,46,577,623,Very High,Q1 (Jan-Mar)
2011-03-11,Spring,0,Mar,0,Fri,1,Misty/Cloudy,0.316522,0.649565,247,1730,1977,Very High,Q1 (Jan-Mar)
2011-03-12,Spring,0,Mar,0,Sat,0,Clear/Partly Cloudy,0.329167,0.594583,724,1408,2132,Very High,Q1 (Jan-Mar)
2011-03-13,Spring,0,Mar,0,Sun,0,Clear/Partly Cloudy,0.384348,0.527391,982,1435,2417,Very High,Q1 (Jan-Mar)
2011-03-14,Spring,0,Mar,0,Mon,1,Clear/Partly Cloudy,0.325217,0.496957,359,1687,2046,Very High,Q1 (Jan-Mar)
2011-03-15,Spring,0,Mar,0,Tue,1,Misty/Cloudy,0.317391,0.655652,289,1767,2056,Very High,Q1 (Jan-Mar)
2011-03-16,Spring,0,Mar,0,Wed,1,Misty/Cloudy,0.365217,0.776522,321,1871,2192,Very High,Q1 (Jan-Mar)
2011-03-17,Spring,0,Mar,0,Thu,1,Clear/Partly Cloudy,0.415,0.602917,424,2320,2744,Very High,Q1 (Jan-Mar)
2011-03-18,Spring,0,Mar,0,Fri,1,Clear/Partly Cloudy,0.54,0.525217,884,2355,3239,Very High,Q1 (Jan-Mar)
2011-03-19,Spring,0,Mar,0,Sat,0,Clear/Partly Cloudy,0.4725,0.379167,1424,1693,3117,Very High,Q1 (Jan-Mar)
2011-03-20,Spring,0,Mar,0,Sun,0,Clear/Partly Cloudy,0.3325,0.47375,1047,1424,2471,Very High,Q1 (Jan-Mar)
2011-03-21,Summer,0,Mar,0,Mon,1,Misty/Cloudy,0.430435,0.737391,401,1676,2077,Very High,Q1 (Jan-Mar)
2011-03-22,Summer,0,Mar,0,Tue,1,Clear/Partly Cloudy,0.441667,0.624583,460,2243,2703,Very High,Q1 (Jan-Mar)
2011-03-23,Summer,0,Mar,0,Wed,1,Misty/Cloudy,0.346957,0.839565,203,1918,2121,Very High,Q1 (Jan-Mar)
2011-03-24,Summer,0,Mar,0,Thu,1,Misty/Cloudy,0.285,0.805833,166,1699,1865,Very High,Q1 (Jan-Mar)
2011-03-25,Summer,0,Mar,0,Fri,1,Clear/Partly Cloudy,0.264167,0.495,300,1910,2210,Very High,Q1 (Jan-Mar)
2011-03-26,Summer,0,Mar,0,Sat,0,Clear/Partly Cloudy,0.265833,0.394167,981,1515,2496,Very High,Q1 (Jan-Mar)
2011-03-27,Summer,0,Mar,0,Sun,0,Misty/Cloudy,0.253043,0.493913,472,1221,1693,Very High,Q1 (Jan-Mar)
2011-03-28,Summer,0,Mar,0,Mon,1,Clear/Partly Cloudy,0.264348,0.302174,222,1806,2028,Very High,Q1 (Jan-Mar)
2011-03-29,Summer,0,Mar,0,Tue,1,Clear/Partly Cloudy,0.3025,0.314167,317,2108,2425,Very High,Q1 (Jan-Mar)
2011-03-30,Summer,0,Mar,0,Wed,1,Misty/Cloudy,0.3,0.646667,168,1368,1536,Very High,Q1 (Jan-Mar)
2011-03-31,Summer,0,Mar,0,Thu,1,Light Snow/Rain,0.268333,0.918333,179,1506,1685,Very High,Q1 (Jan-Mar)
2011-04-01,Summer,0,Apr,0,Fri,1,Misty/Cloudy,0.3,0.68625,307,1920,2227,Very High,Q2 (Apr-Jun)
2011-04-02,Summer,0,Apr,0,Sat,0,Misty/Cloudy,0.315,0.65375,898,1354,2252,Very High,Q2 (Apr-Jun)
2011-04-03,Summer,0,Apr,0,Sun,0,Clear/Partly Cloudy,0.378333,0.48,1651,1598,3249,Very High,Q2 (Apr-Jun)
2011-04-04,Summer,0,Apr,0,Mon,1,Clear/Partly Cloudy,0.573333,0.42625,734,2381,3115,Very High,Q2 (Apr-Jun)
2011-04-05,Summer,0,Apr,0,Tue,1,Misty/Cloudy,0.414167,0.642083,167,1628,1795,Very High,Q2 (Apr-Jun)
2011-04-06,Summer,0,Apr,0,Wed,1,Clear/Partly Cloudy,0.390833,0.470833,413,2395,2808,Very High,Q2 (Apr-Jun)
2011-04-07,Summer,0,Apr,0,Thu,1,Clear/Partly Cloudy,0.4375,0.602917,571,2570,3141,Very High,Q2 (Apr-Jun)
2011-04-08,Summer,0,Apr,0,Fri,1,Misty/Cloudy,0.335833,0.83625,172,1299,1471,Very High,Q2 (Apr-Jun)
2011-04-09,Summer,0,Apr,0,Sat,0,Misty/Cloudy,0.3425,0.8775,879,1576,2455,Very High,Q2 (Apr-Jun)
2011-04-10,Summer,0,Apr,0,Sun,0,Misty/Cloudy,0.426667,0.8575,1188,1707,2895,Very High,Q2 (Apr-Jun)
2011-04-11,Summer,0,Apr,0,Mon,1,Misty/Cloudy,0.595652,0.716956,855,2493,3348,Very High,Q2 (Apr-Jun)
2011-04-12,Summer,0,Apr,0,Tue,1,Misty/Cloudy,0.5025,0.739167,257,1777,2034,Very High,Q2 (Apr-Jun)
2011-04-13,Summer,0,Apr,0,Wed,1,Misty/Cloudy,0.4125,0.819167,209,1953,2162,Very High,Q2 (Apr-Jun)
2011-04-14,Summer,0,Apr,0,Thu,1,Clear/Partly Cloudy,0.4675,0.540417,529,2738,3267,Very High,Q2 (Apr-Jun)
2011-04-15,Summer,0,Apr,1,Fri,0,Clear/Partly Cloudy,0.446667,0.67125,642,2484,3126,Very High,Q2 (Apr-Jun)
2011-04-16,Summer,0,Apr,0,Sat,0,Light Snow/Rain,0.430833,0.888333,121,674,795,Very High,Q2 (Apr-Jun)
2011-04-17,Summer,0,Apr,0,Sun,0,Clear/Partly Cloudy,0.456667,0.479583,1558,2186,3744,Very High,Q2 (Apr-Jun)
2011-04-18,Summer,0,Apr,0,Mon,1,Clear/Partly Cloudy,0.5125,0.5425,669,2760,3429,Very High,Q2 (Apr-Jun)
2011-04-19,Summer,0,Apr,0,Tue,1,Misty/Cloudy,0.505833,0.665833,409,2795,3204,Very High,Q2 (Apr-Jun)
2011-04-20,Summer,0,Apr,0,Wed,1,Clear/Partly Cloudy,0.595,0.614167,613,3331,3944,Very High,Q2 (Apr-Jun)
2011-04-21,Summer,0,Apr,0,Thu,1,Clear/Partly Cloudy,0.459167,0.407083,745,3444,4189,Very High,Q2 (Apr-Jun)
2011-04-22,Summer,0,Apr,0,Fri,1,Misty/Cloudy,0.336667,0.729583,177,1506,1683,Very High,Q2 (Apr-Jun)
2011-04-23,Summer,0,Apr,0,Sat,0,Misty/Cloudy,0.46,0.887917,1462,2574,4036,Very High,Q2 (Apr-Jun)
2011-04-24,Summer,0,Apr,0,Sun,0,Misty/Cloudy,0.581667,0.810833,1710,2481,4191,Very High,Q2 (Apr-Jun)
2011-04-25,Summer,0,Apr,0,Mon,1,Clear/Partly Cloudy,0.606667,0.776667,773,3300,4073,Very High,Q2 (Apr-Jun)
2011-04-26,Summer,0,Apr,0,Tue,1,Clear/Partly Cloudy,0.631667,0.729167,678,3722,4400,Very High,Q2 (Apr-Jun)
2011-04-27,Summer,0,Apr,0,Wed,1,Misty/Cloudy,0.62,0.835417,547,3325,3872,Very High,Q2 (Apr-Jun)
2011-04-28,Summer,0,Apr,0,Thu,1,Misty/Cloudy,0.6175,0.700833,569,3489,4058,Very High,Q2 (Apr-Jun)
2011-04-29,Summer,0,Apr,0,Fri,1,Clear/Partly Cloudy,0.51,0.457083,878,3717,4595,Very High,Q2 (Apr-Jun)
2011-04-30,Summer,0,Apr,0,Sat,0,Clear/Partly Cloudy,0.4725,0.503333,1965,3347,5312,Very High,Q2 (Apr-Jun)
2011-05-01,Summer,0,May,0,Sun,0,Misty/Cloudy,0.451667,0.762083,1138,2213,3351,Very High,Q2 (Apr-Jun)
2011-05-02,Summer,0,May,0,Mon,1,Misty/Cloudy,0.549167,0.73,847,3554,4401,Very High,Q2 (Apr-Jun)
2011-05-03,Summer,0,May,0,Tue,1,Misty/Cloudy,0.616667,0.697083,603,3848,4451,Very High,Q2 (Apr-Jun)
2011-05-04,Summer,0,May,0,Wed,1,Misty/Cloudy,0.414167,0.737083,255,2378,2633,Very High,Q2 (Apr-Jun)
2011-05-05,Summer,0,May,0,Thu,1,Clear/Partly Cloudy,0.459167,0.444167,614,3819,4433,Very High,Q2 (Apr-Jun)
2011-05-06,Summer,0,May,0,Fri,1,Clear/Partly Cloudy,0.479167,0.59,894,3714,4608,Very High,Q2 (Apr-Jun)
2011-05-07,Summer,0,May,0,Sat,0,Clear/Partly Cloudy,0.52,0.54125,1612,3102,4714,Very High,Q2 (Apr-Jun)
2011-05-08,Summer,0,May,0,Sun,0,Clear/Partly Cloudy,0.528333,0.631667,1401,2932,4333,Very High,Q2 (Apr-Jun)
2011-05-09,Summer,0,May,0,Mon,1,Clear/Partly Cloudy,0.5325,0.58875,664,3698,4362,Very High,Q2 (Apr-Jun)
2011-05-10,Summer,0,May,0,Tue,1,Clear/Partly Cloudy,0.5325,0.489167,694,4109,4803,Very High,Q2 (Apr-Jun)
2011-05-11,Summer,0,May,0,Wed,1,Clear/Partly Cloudy,0.5425,0.632917,550,3632,4182,Very High,Q2 (Apr-Jun)
2011-05-12,Summer,0,May,0,Thu,1,Clear/Partly Cloudy,0.535,0.7475,695,4169,4864,Very High,Q2 (Apr-Jun)
2011-05-13,Summer,0,May,0,Fri,1,Misty/Cloudy,0.5125,0.863333,692,3413,4105,Very High,Q2 (Apr-Jun)
2011-05-14,Summer,0,May,0,Sat,0,Misty/Cloudy,0.520833,0.9225,902,2507,3409,Very High,Q2 (Apr-Jun)
2011-05-15,Summer,0,May,0,Sun,0,Misty/Cloudy,0.5625,0.867083,1582,2971,4553,Very High,Q2 (Apr-Jun)
2011-05-16,Summer,0,May,0,Mon,1,Clear/Partly Cloudy,0.5775,0.787917,773,3185,3958,Very High,Q2 (Apr-Jun)
2011-05-17,Summer,0,May,0,Tue,1,Misty/Cloudy,0.561667,0.837917,678,3445,4123,Very High,Q2 (Apr-Jun)
2011-05-18,Summer,0,May,0,Wed,1,Misty/Cloudy,0.55,0.87,536,3319,3855,Very High,Q2 (Apr-Jun)
2011-05-19,Summer,0,May,0,Thu,1,Misty/Cloudy,0.530833,0.829583,735,3840,4575,Very High,Q2 (Apr-Jun)
2011-05-20,Summer,0,May,0,Fri,1,Clear/Partly Cloudy,0.536667,0.719583,909,4008,4917,Very High,Q2 (Apr-Jun)
2011-05-21,Summer,0,May,0,Sat,0,Clear/Partly Cloudy,0.6025,0.626667,2258,3547,5805,Very High,Q2 (Apr-Jun)
2011-05-22,Summer,0,May,0,Sun,0,Clear/Partly Cloudy,0.604167,0.749583,1576,3084,4660,Very High,Q2 (Apr-Jun)
2011-05-23,Summer,0,May,0,Mon,1,Misty/Cloudy,0.631667,0.81,836,3438,4274,Very High,Q2 (Apr-Jun)
2011-05-24,Summer,0,May,0,Tue,1,Misty/Cloudy,0.66,0.740833,659,3833,4492,Very High,Q2 (Apr-Jun)
2011-05-25,Summer,0,May,0,Wed,1,Clear/Partly Cloudy,0.660833,0.69625,740,4238,4978,Very High,Q2 (Apr-Jun)
2011-05-26,Summer,0,May,0,Thu,1,Clear/Partly Cloudy,0.708333,0.6775,758,3919,4677,Very High,Q2 (Apr-Jun)
2011-05-27,Summer,0,May,0,Fri,1,Clear/Partly Cloudy,0.681667,0.65375,871,3808,4679,Very High,Q2 (Apr-Jun)
2011-05-28,Summer,0,May,0,Sat,0,Clear/Partly Cloudy,0.655833,0.729583,2001,2757,4758,Very High,Q2 (Apr-Jun)
2011-05-29,Summer,0,May,0,Sun,0,Clear/Partly Cloudy,0.6675,0.81875,2355,2433,4788,Very High,Q2 (Apr-Jun)
2011-05-30,Summer,0,May,1,Mon,0,Clear/Partly Cloudy,0.733333,0.685,1549,2549,4098,Very High,Q2 (Apr-Jun)
2011-05-31,Summer,0,May,0,Tue,1,Clear/Partly Cloudy,0.775,0.636667,673,3309,3982,Very High,Q2 (Apr-Jun)
2011-06-01,Summer,0,Jun,0,Wed,1,Misty/Cloudy,0.764167,0.677083,513,3461,3974,Very High,Q2 (Apr-Jun)
2011-06-02,Summer,0,Jun,0,Thu,1,Clear/Partly Cloudy,0.715,0.305,736,4232,4968,Very High,Q2 (Apr-Jun)
2011-06-03,Summer,0,Jun,0,Fri,1,Clear/Partly Cloudy,0.62,0.354167,898,4414,5312,Very High,Q2 (Apr-Jun)
2011-06-04,Summer,0,Jun,0,Sat,0,Clear/Partly Cloudy,0.635,0.45625,1869,3473,5342,Very High,Q2 (Apr-Jun)
2011-06-05,Summer,0,Jun,0,Sun,0,Misty/Cloudy,0.648333,0.6525,1685,3221,4906,Very High,Q2 (Apr-Jun)
2011-06-06,Summer,0,Jun,0,Mon,1,Clear/Partly Cloudy,0.678333,0.6,673,3875,4548,Very High,Q2 (Apr-Jun)
2011-06-07,Summer,0,Jun,0,Tue,1,Clear/Partly Cloudy,0.7075,0.597917,763,4070,4833,Very High,Q2 (Apr-Jun)
2011-06-08,Summer,0,Jun,0,Wed,1,Clear/Partly Cloudy,0.775833,0.622083,676,3725,4401,Very High,Q2 (Apr-Jun)
2011-06-09,Summer,0,Jun,0,Thu,1,Misty/Cloudy,0.808333,0.568333,563,3352,3915,Very High,Q2 (Apr-Jun)
2011-06-10,Summer,0,Jun,0,Fri,1,Clear/Partly Cloudy,0.755,0.605,815,3771,4586,Very High,Q2 (Apr-Jun)
2011-06-11,Summer,0,Jun,0,Sat,0,Clear/Partly Cloudy,0.725,0.654583,1729,3237,4966,Very High,Q2 (Apr-Jun)
2011-06-12,Summer,0,Jun,0,Sun,0,Clear/Partly Cloudy,0.6925,0.747917,1467,2993,4460,Very High,Q2 (Apr-Jun)
2011-06-13,Summer,0,Jun,0,Mon,1,Clear/Partly Cloudy,0.635,0.494583,863,4157,5020,Very High,Q2 (Apr-Jun)
2011-06-14,Summer,0,Jun,0,Tue,1,Clear/Partly Cloudy,0.604167,0.507083,727,4164,4891,Very High,Q2 (Apr-Jun)
2011-06-15,Summer,0,Jun,0,Wed,1,Clear/Partly Cloudy,0.626667,0.471667,769,4411,5180,Very High,Q2 (Apr-Jun)
2011-06-16,Summer,0,Jun,0,Thu,1,Misty/Cloudy,0.628333,0.688333,545,3222,3767,Very High,Q2 (Apr-Jun)
2011-06-17,Summer,0,Jun,0,Fri,1,Clear/Partly Cloudy,0.649167,0.735833,863,3981,4844,Very High,Q2 (Apr-Jun)
2011-06-18,Summer,0,Jun,0,Sat,0,Clear/Partly Cloudy,0.696667,0.670417,1807,3312,5119,Very High,Q2 (Apr-Jun)
2011-06-19,Summer,0,Jun,0,Sun,0,Misty/Cloudy,0.699167,0.666667,1639,3105,4744,Very High,Q2 (Apr-Jun)
2011-06-20,Summer,0,Jun,0,Mon,1,Misty/Cloudy,0.635,0.74625,699,3311,4010,Very High,Q2 (Apr-Jun)
2011-06-21,Fall,0,Jun,0,Tue,1,Misty/Cloudy,0.680833,0.770417,774,4061,4835,Very High,Q2 (Apr-Jun)
2011-06-22,Fall,0,Jun,0,Wed,1,Clear/Partly Cloudy,0.733333,0.7075,661,3846,4507,Very High,Q2 (Apr-Jun)
2011-06-23,Fall,0,Jun,0,Thu,1,Misty/Cloudy,0.728333,0.703333,746,4044,4790,Very High,Q2 (Apr-Jun)
2011-06-24,Fall,0,Jun,0,Fri,1,Clear/Partly Cloudy,0.724167,0.573333,969,4022,4991,Very High,Q2 (Apr-Jun)
2011-06-25,Fall,0,Jun,0,Sat,0,Clear/Partly Cloudy,0.695,0.483333,1782,3420,5202,Very High,Q2 (Apr-Jun)
2011-06-26,Fall,0,Jun,0,Sun,0,Clear/Partly Cloudy,0.68,0.513333,1920,3385,5305,Very High,Q2 (Apr-Jun)
2011-06-27,Fall,0,Jun,0,Mon,1,Misty/Cloudy,0.6825,0.658333,854,3854,4708,Very High,Q2 (Apr-Jun)
2011-06-28,Fall,0,Jun,0,Tue,1,Clear/Partly Cloudy,0.744167,0.634167,732,3916,4648,Very High,Q2 (Apr-Jun)
2011-06-29,Fall,0,Jun,0,Wed,1,Clear/Partly Cloudy,0.728333,0.497917,848,4377,5225,Very High,Q2 (Apr-Jun)
2011-06-30,Fall,0,Jun,0,Thu,1,Clear/Partly Cloudy,0.696667,0.434167,1027,4488,5515,Very High,Q2 (Apr-Jun)
2011-07-01,Fall,0,Jul,0,Fri,1,Clear/Partly Cloudy,0.7225,0.39625,1246,4116,5362,Very High,Q3 (Jul-Sep)
2011-07-02,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,0.738333,0.444583,2204,2915,5119,Very High,Q3 (Jul-Sep)
2011-07-03,Fall,0,Jul,0,Sun,0,Misty/Cloudy,0.716667,0.6825,2282,2367,4649,Very High,Q3 (Jul-Sep)
2011-07-04,Fall,0,Jul,1,Mon,0,Misty/Cloudy,0.726667,0.637917,3065,2978,6043,Very High,Q3 (Jul-Sep)
2011-07-05,Fall,0,Jul,0,Tue,1,Clear/Partly Cloudy,0.746667,0.590417,1031,3634,4665,Very High,Q3 (Jul-Sep)
2011-07-06,Fall,0,Jul,0,Wed,1,Clear/Partly Cloudy,0.72,0.743333,784,3845,4629,Very High,Q3 (Jul-Sep)
2011-07-07,Fall,0,Jul,0,Thu,1,Clear/Partly Cloudy,0.75,0.65125,754,3838,4592,Very High,Q3 (Jul-Sep)
2011-07-08,Fall,0,Jul,0,Fri,1,Misty/Cloudy,0.709167,0.757917,692,3348,4040,Very High,Q3 (Jul-Sep)
2011-07-09,Fall,0,Jul,0,Sat,0,Clear/Partly Cloudy,0.733333,0.609167,1988,3348,5336,Very High,Q3 (Jul-Sep)
2011-07-10,Fall,0,Jul,0,Sun,0,Clear/Partly Cloudy,0.7475,0.578333,1743,3138,4881,Very High,Q3 (Jul-Sep)
2011-07-11,Fall,0,Jul,0,Mon,1,Clear/Partly Cloudy,0.7625,0.635833,723,3363,4086,Very High,Q3 (Jul-Sep)
