instant,dateday,season,year,month,hour,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,windspeed,casual,registered,total,time_of_day
24,2011-01-01,Spring,0,Jan,23,0,Sat,0,Misty/Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Night
25,2011-01-02,Spring,0,Jan,0,0,Sun,0,Misty/Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Morning
26,2011-01-02,Spring,0,Jan,1,0,Sun,0,Misty/Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Morning
27,2011-01-02,Spring,0,Jan,2,0,Sun,0,Misty/Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Morning
28,2011-01-02,Spring,0,Jan,3,0,Sun,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Morning
29,2011-01-02,Spring,0,Jan,4,0,Sun,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Morning
30,2011-01-02,Spring,0,Jan,6,0,Sun,0,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,Morning
31,2011-01-02,Spring,0,Jan,7,0,Sun,0,Misty/Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Morning
32,2011-01-02,Spring,0,Jan,8,0,Sun,0,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,Afternoon
33,2011-01-02,Spring,0,Jan,9,0,Sun,0,Misty/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Afternoon
34,2011-01-02,Spring,0,Jan,10,0,Sun,0,Misty/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Afternoon
35,2011-01-02,Spring,0,Jan,11,0,Sun,0,Misty/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Afternoon
36,2011-01-02,Spring,0,Jan,12,0,Sun,0,Misty/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Afternoon
37,2011-01-02,Spring,0,Jan,13,0,Sun,0,Misty/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Afternoon
38,2011-01-02,Spring,0,Jan,14,0,Sun,0,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,Afternoon
39,2011-01-02,Spring,0,Jan,15,0,Sun,0,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,Afternoon
40,2011-01-02,Spring,0,Jan,16,0,Sun,0,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,Night
41,2011-01-02,Spring,0,Jan,17,0,Sun,0,Clear/Partly Cloudy,0.34,0.3333,0.57,0.194,7,58,65,Night
42,2011-01-02,Spring,0,Jan,18,0,Sun,0,Misty/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Night
43,2011-01-02,Spring,0,Jan,19,0,Sun,0,Clear/Partly Cloudy,0.32,0.2879,0.42,0.4478,1,29,30,Night
44,2011-01-02,Spring,0,Jan,20,0,Sun,0,Clear/Partly Cloudy,0.3,0.2727,0.39,0.3582,5,17,22,Night
45,2011-01-02,Spring,0,Jan,21,0,Sun,0,Clear/Partly Cloudy,0.26,0.2273,0.44,0.3284,11,20,31,Night
46,2011-01-02,Spring,0,Jan,22,0,Sun,0,Clear/Partly Cloudy,0.24,0.2121,0.44,0.2985,0,9,9,Night
47,2011-01-02,Spring,0,Jan,23,0,Sun,0,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,8,8,Night
48,2011-01-03,Spring,0,Jan,0,0,Mon,1,Clear/Partly Cloudy,0.22,0.197,0.44,0.3582,0,5,5,Morning
49,2011-01-03,Spring,0,Jan,1,0,Mon,1,Clear/Partly Cloudy,0.2,0.1667,0.44,0.4179,0,2,2,Morning
50,2011-01-03,Spring,0,Jan,4,0,Mon,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.3881,0,1,1,Morning
51,2011-01-03,Spring,0,Jan,5,0,Mon,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.2836,0,3,3,Morning
52,2011-01-03,Spring,0,Jan,6,0,Mon,1,Clear/Partly Cloudy,0.14,0.1061,0.5,0.3881,0,30,30,Morning
53,2011-01-03,Spring,0,Jan,7,0,Mon,1,Clear/Partly Cloudy,0.14,0.1364,0.5,0.194,1,63,64,Morning
54,2011-01-03,Spring,0,Jan,8,0,Mon,1,Clear/Partly Cloudy,0.14,0.1212,0.5,0.2836,1,153,154,Afternoon
55,2011-01-03,Spring,0,Jan,9,0,Mon,1,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3881,7,81,88,Afternoon
56,2011-01-03,Spring,0,Jan,10,0,Mon,1,Clear/Partly Cloudy,0.18,0.1667,0.43,0.2537,11,33,44,Afternoon
57,2011-01-03,Spring,0,Jan,11,0,Mon,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.3284,10,41,51,Afternoon
58,2011-01-03,Spring,0,Jan,12,0,Mon,1,Clear/Partly Cloudy,0.22,0.2121,0.35,0.2985,13,48,61,Afternoon
59,2011-01-03,Spring,0,Jan,13,0,Mon,1,Clear/Partly Cloudy,0.24,0.2121,0.35,0.2836,8,53,61,Afternoon
60,2011-01-03,Spring,0,Jan,14,0,Mon,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2836,11,66,77,Afternoon
61,2011-01-03,Spring,0,Jan,15,0,Mon,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,14,58,72,Afternoon
62,2011-01-03,Spring,0,Jan,16,0,Mon,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,9,67,76,Night
63,2011-01-03,Spring,0,Jan,17,0,Mon,1,Clear/Partly Cloudy,0.24,0.2273,0.3,0.2239,11,146,157,Night
64,2011-01-03,Spring,0,Jan,18,0,Mon,1,Clear/Partly Cloudy,0.24,0.2576,0.32,0.1045,9,148,157,Night
65,2011-01-03,Spring,0,Jan,19,0,Mon,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,8,102,110,Night
66,2011-01-03,Spring,0,Jan,20,0,Mon,1,Clear/Partly Cloudy,0.2,0.2273,0.47,0.1045,3,49,52,Night
67,2011-01-03,Spring,0,Jan,21,0,Mon,1,Clear/Partly Cloudy,0.18,0.197,0.64,0.1343,3,49,52,Night
68,2011-01-03,Spring,0,Jan,22,0,Mon,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1343,0,20,20,Night
69,2011-01-03,Spring,0,Jan,23,0,Mon,1,Clear/Partly Cloudy,0.18,0.2121,0.55,0.1045,1,11,12,Night
70,2011-01-04,Spring,0,Jan,0,0,Tue,1,Clear/Partly Cloudy,0.16,0.1818,0.55,0.1045,0,5,5,Morning
71,2011-01-04,Spring,0,Jan,1,0,Tue,1,Clear/Partly Cloudy,0.16,0.1818,0.59,0.1045,0,2,2,Morning
72,2011-01-04,Spring,0,Jan,2,0,Tue,1,Clear/Partly Cloudy,0.14,0.1515,0.63,0.1343,0,1,1,Morning
73,2011-01-04,Spring,0,Jan,4,0,Tue,1,Clear/Partly Cloudy,0.14,0.1818,0.63,0.0896,0,2,2,Morning
74,2011-01-04,Spring,0,Jan,5,0,Tue,1,Clear/Partly Cloudy,0.12,0.1515,0.68,0.1045,0,4,4,Morning
75,2011-01-04,Spring,0,Jan,6,0,Tue,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1045,0,36,36,Morning
76,2011-01-04,Spring,0,Jan,7,0,Tue,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1343,2,92,94,Morning
77,2011-01-04,Spring,0,Jan,8,0,Tue,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1642,2,177,179,Afternoon
78,2011-01-04,Spring,0,Jan,9,0,Tue,1,Clear/Partly Cloudy,0.16,0.1515,0.64,0.2239,2,98,100,Afternoon
79,2011-01-04,Spring,0,Jan,10,0,Tue,1,Misty/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Afternoon
80,2011-01-04,Spring,0,Jan,11,0,Tue,1,Clear/Partly Cloudy,0.22,0.2121,0.51,0.2985,7,50,57,Afternoon
81,2011-01-04,Spring,0,Jan,12,0,Tue,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,12,66,78,Afternoon
82,2011-01-04,Spring,0,Jan,13,0,Tue,1,Clear/Partly Cloudy,0.24,0.2273,0.56,0.194,18,79,97,Afternoon
83,2011-01-04,Spring,0,Jan,14,0,Tue,1,Clear/Partly Cloudy,0.26,0.2576,0.52,0.2239,9,54,63,Afternoon
84,2011-01-04,Spring,0,Jan,15,0,Tue,1,Clear/Partly Cloudy,0.28,0.2727,0.52,0.2537,17,48,65,Afternoon
85,2011-01-04,Spring,0,Jan,16,0,Tue,1,Clear/Partly Cloudy,0.3,0.2879,0.49,0.2537,15,68,83,Night
86,2011-01-04,Spring,0,Jan,17,0,Tue,1,Clear/Partly Cloudy,0.28,0.2727,0.48,0.2239,10,202,212,Night
87,2011-01-04,Spring,0,Jan,18,0,Tue,1,Clear/Partly Cloudy,0.26,0.2576,0.48,0.194,3,179,182,Night
88,2011-01-04,Spring,0,Jan,19,0,Tue,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,2,110,112,Night
89,2011-01-04,Spring,0,Jan,20,0,Tue,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,1,53,54,Night
90,2011-01-04,Spring,0,Jan,21,0,Tue,1,Clear/Partly Cloudy,0.22,0.2727,0.64,0.0,0,48,48,Night
91,2011-01-04,Spring,0,Jan,22,0,Tue,1,Clear/Partly Cloudy,0.22,0.2576,0.64,0.0896,1,34,35,Night
92,2011-01-04,Spring,0,Jan,23,0,Tue,1,Clear/Partly Cloudy,0.2,0.2273,0.69,0.0896,2,9,11,Night
93,2011-01-05,Spring,0,Jan,0,0,Wed,1,Clear/Partly Cloudy,0.2,0.2576,0.64,0.0,0,6,6,Morning
94,2011-01-05,Spring,0,Jan,1,0,Wed,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,6,6,Morning
95,2011-01-05,Spring,0,Jan,2,0,Wed,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,2,2,Morning
96,2011-01-05,Spring,0,Jan,4,0,Wed,1,Clear/Partly Cloudy,0.24,0.2273,0.48,0.2239,0,2,2,Morning
97,2011-01-05,Spring,0,Jan,5,0,Wed,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,3,3,Morning
98,2011-01-05,Spring,0,Jan,6,0,Wed,1,Clear/Partly Cloudy,0.2,0.197,0.47,0.2239,0,33,33,Morning
99,2011-01-05,Spring,0,Jan,7,0,Wed,1,Clear/Partly Cloudy,0.18,0.1818,0.43,0.194,1,87,88,Morning
100,2011-01-05,Spring,0,Jan,8,0,Wed,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.2985,3,192,195,Afternoon
101,2011-01-05,Spring,0,Jan,9,0,Wed,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,6,109,115,Afternoon
102,2011-01-05,Spring,0,Jan,10,0,Wed,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,4,53,57,Afternoon
103,2011-01-05,Spring,0,Jan,11,0,Wed,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,12,34,46,Afternoon
104,2011-01-05,Spring,0,Jan,12,0,Wed,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,5,74,79,Afternoon
105,2011-01-05,Spring,0,Jan,13,0,Wed,1,Clear/Partly Cloudy,0.28,0.2576,0.3,0.2985,6,65,71,Afternoon
106,2011-01-05,Spring,0,Jan,14,0,Wed,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,10,52,62,Afternoon
107,2011-01-05,Spring,0,Jan,15,0,Wed,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,7,55,62,Afternoon
108,2011-01-05,Spring,0,Jan,16,0,Wed,1,Clear/Partly Cloudy,0.3,0.3182,0.28,0.0896,4,85,89,Night
109,2011-01-05,Spring,0,Jan,17,0,Wed,1,Clear/Partly Cloudy,0.24,0.2273,0.38,0.194,4,186,190,Night
110,2011-01-05,Spring,0,Jan,18,0,Wed,1,Clear/Partly Cloudy,0.24,0.2424,0.38,0.1343,3,166,169,Night
111,2011-01-05,Spring,0,Jan,19,0,Wed,1,Clear/Partly Cloudy,0.24,0.2576,0.38,0.1045,5,127,132,Night
112,2011-01-05,Spring,0,Jan,20,0,Wed,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,7,82,89,Night
113,2011-01-05,Spring,0,Jan,21,0,Wed,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.194,3,40,43,Night
114,2011-01-05,Spring,0,Jan,22,0,Wed,1,Clear/Partly Cloudy,0.18,0.197,0.55,0.1343,1,41,42,Night
115,2011-01-05,Spring,0,Jan,23,0,Wed,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,1,18,19,Night
116,2011-01-06,Spring,0,Jan,0,0,Thu,1,Clear/Partly Cloudy,0.18,0.2424,0.55,0.0,0,11,11,Morning
117,2011-01-06,Spring,0,Jan,1,0,Thu,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,4,4,Morning
118,2011-01-06,Spring,0,Jan,2,0,Thu,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,2,2,Morning
119,2011-01-06,Spring,0,Jan,4,0,Thu,1,Misty/Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Morning
120,2011-01-06,Spring,0,Jan,5,0,Thu,1,Misty/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Morning
121,2011-01-06,Spring,0,Jan,6,0,Thu,1,Misty/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Morning
122,2011-01-06,Spring,0,Jan,7,0,Thu,1,Misty/Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Morning
123,2011-01-06,Spring,0,Jan,8,0,Thu,1,Clear/Partly Cloudy,0.16,0.2273,0.59,0.0,3,216,219,Afternoon
124,2011-01-06,Spring,0,Jan,9,0,Thu,1,Misty/Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Afternoon
125,2011-01-06,Spring,0,Jan,10,0,Thu,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,3,42,45,Afternoon
126,2011-01-06,Spring,0,Jan,11,0,Thu,1,Clear/Partly Cloudy,0.22,0.2576,0.44,0.0896,2,57,59,Afternoon
127,2011-01-06,Spring,0,Jan,12,0,Thu,1,Clear/Partly Cloudy,0.26,0.2879,0.35,0.0,6,78,84,Afternoon
128,2011-01-06,Spring,0,Jan,13,0,Thu,1,Clear/Partly Cloudy,0.26,0.2727,0.35,0.1045,12,55,67,Afternoon
129,2011-01-06,Spring,0,Jan,14,0,Thu,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.1642,11,59,70,Afternoon
130,2011-01-06,Spring,0,Jan,15,0,Thu,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.0,8,54,62,Afternoon
131,2011-01-06,Spring,0,Jan,16,0,Thu,1,Clear/Partly Cloudy,0.26,0.2576,0.38,0.1642,12,74,86,Night
132,2011-01-06,Spring,0,Jan,17,0,Thu,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,9,163,172,Night
133,2011-01-06,Spring,0,Jan,18,0,Thu,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1343,5,158,163,Night
134,2011-01-06,Spring,0,Jan,19,0,Thu,1,Clear/Partly Cloudy,0.22,0.2576,0.55,0.0896,3,109,112,Night
135,2011-01-06,Spring,0,Jan,20,0,Thu,1,Clear/Partly Cloudy,0.2,0.2121,0.51,0.1642,3,66,69,Night
136,2011-01-06,Spring,0,Jan,21,0,Thu,1,Misty/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Night
137,2011-01-06,Spring,0,Jan,22,0,Thu,1,Misty/Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Night
138,2011-01-06,Spring,0,Jan,23,0,Thu,1,Misty/Cloudy,0.2,0.197,0.59,0.194,4,19,23,Night
139,2011-01-07,Spring,0,Jan,0,0,Fri,1,Misty/Cloudy,0.2,0.197,0.64,0.194,4,13,17,Morning
140,2011-01-07,Spring,0,Jan,1,0,Fri,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Morning
141,2011-01-07,Spring,0,Jan,2,0,Fri,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Morning
142,2011-01-07,Spring,0,Jan,4,0,Fri,1,Misty/Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Morning
143,2011-01-07,Spring,0,Jan,5,0,Fri,1,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,Morning
144,2011-01-07,Spring,0,Jan,6,0,Fri,1,Misty/Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Morning
145,2011-01-07,Spring,0,Jan,7,0,Fri,1,Clear/Partly Cloudy,0.2,0.2121,0.69,0.1343,8,76,84,Morning
146,2011-01-07,Spring,0,Jan,8,0,Fri,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.2537,20,190,210,Afternoon
147,2011-01-07,Spring,0,Jan,9,0,Fri,1,Clear/Partly Cloudy,0.2,0.1818,0.47,0.2985,9,125,134,Afternoon
148,2011-01-07,Spring,0,Jan,10,0,Fri,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,16,47,63,Afternoon
149,2011-01-07,Spring,0,Jan,11,0,Fri,1,Misty/Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Afternoon
150,2011-01-07,Spring,0,Jan,12,0,Fri,1,Misty/Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Afternoon
151,2011-01-07,Spring,0,Jan,13,0,Fri,1,Misty/Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Afternoon
152,2011-01-07,Spring,0,Jan,14,0,Fri,1,Misty/Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Afternoon
153,2011-01-07,Spring,0,Jan,15,0,Fri,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Afternoon
154,2011-01-07,Spring,0,Jan,16,0,Fri,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Night
155,2011-01-07,Spring,0,Jan,17,0,Fri,1,Misty/Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Night
156,2011-01-07,Spring,0,Jan,18,0,Fri,1,Clear/Partly Cloudy,0.2,0.2273,0.4,0.0896,7,116,123,Night
157,2011-01-07,Spring,0,Jan,19,0,Fri,1,Clear/Partly Cloudy,0.16,0.197,0.55,0.0896,3,92,95,Night
158,2011-01-07,Spring,0,Jan,20,0,Fri,1,Clear/Partly Cloudy,0.18,0.2121,0.47,0.1045,1,50,51,Night
159,2011-01-07,Spring,0,Jan,21,0,Fri,1,Clear/Partly Cloudy,0.18,0.197,0.47,0.1343,0,39,39,Night
160,2011-01-07,Spring,0,Jan,22,0,Fri,1,Misty/Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Night
161,2011-01-07,Spring,0,Jan,23,0,Fri,1,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Night
162,2011-01-08,Spring,0,Jan,0,0,Sat,0,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Morning
163,2011-01-08,Spring,0,Jan,1,0,Sat,0,Misty/Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Morning
164,2011-01-08,Spring,0,Jan,2,0,Sat,0,Misty/Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Morning
165,2011-01-08,Spring,0,Jan,3,0,Sat,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,Morning
166,2011-01-08,Spring,0,Jan,4,0,Sat,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,Morning
167,2011-01-08,Spring,0,Jan,5,0,Sat,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Morning
168,2011-01-08,Spring,0,Jan,6,0,Sat,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Morning
169,2011-01-08,Spring,0,Jan,7,0,Sat,0,Misty/Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Morning
170,2011-01-08,Spring,0,Jan,8,0,Sat,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15,Afternoon
171,2011-01-08,Spring,0,Jan,9,0,Sat,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,20,20,Afternoon
172,2011-01-08,Spring,0,Jan,10,0,Sat,0,Misty/Cloudy,0.18,0.197,0.8,0.1642,5,56,61,Afternoon
173,2011-01-08,Spring,0,Jan,11,0,Sat,0,Misty/Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,Afternoon
174,2011-01-08,Spring,0,Jan,12,0,Sat,0,Misty/Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,Afternoon
175,2011-01-08,Spring,0,Jan,13,0,Sat,0,Clear/Partly Cloudy,0.2,0.1818,0.44,0.3284,7,95,102,Afternoon
176,2011-01-08,Spring,0,Jan,14,0,Sat,0,Clear/Partly Cloudy,0.2,0.1667,0.32,0.4925,12,83,95,Afternoon
177,2011-01-08,Spring,0,Jan,15,0,Sat,0,Clear/Partly Cloudy,0.2,0.1667,0.32,0.4478,5,69,74,Afternoon
178,2011-01-08,Spring,0,Jan,16,0,Sat,0,Clear/Partly Cloudy,0.18,0.1364,0.29,0.4478,8,68,76,Night
179,2011-01-08,Spring,0,Jan,17,0,Sat,0,Clear/Partly Cloudy,0.16,0.1212,0.37,0.5522,5,64,69,Night
180,2011-01-08,Spring,0,Jan,18,0,Sat,0,Clear/Partly Cloudy,0.14,0.1212,0.39,0.2985,3,52,55,Night
181,2011-01-08,Spring,0,Jan,19,0,Sat,0,Clear/Partly Cloudy,0.14,0.1212,0.36,0.2537,4,26,30,Night
182,2011-01-08,Spring,0,Jan,20,0,Sat,0,Clear/Partly Cloudy,0.12,0.1212,0.36,0.2537,0,28,28,Night
183,2011-01-08,Spring,0,Jan,21,0,Sat,0,Clear/Partly Cloudy,0.12,0.1061,0.39,0.3582,2,35,37,Night
184,2011-01-08,Spring,0,Jan,22,0,Sat,0,Clear/Partly Cloudy,0.12,0.1061,0.36,0.3881,1,33,34,Night
185,2011-01-08,Spring,0,Jan,23,0,Sat,0,Clear/Partly Cloudy,0.1,0.0606,0.39,0.4478,0,22,22,Night
186,2011-01-09,Spring,0,Jan,0,0,Sun,0,Clear/Partly Cloudy,0.1,0.0758,0.42,0.3881,1,24,25,Morning
187,2011-01-09,Spring,0,Jan,1,0,Sun,0,Clear/Partly Cloudy,0.1,0.0606,0.42,0.4627,0,12,12,Morning
188,2011-01-09,Spring,0,Jan,2,0,Sun,0,Clear/Partly Cloudy,0.1,0.0606,0.46,0.4627,0,11,11,Morning
189,2011-01-09,Spring,0,Jan,3,0,Sun,0,Clear/Partly Cloudy,0.1,0.0758,0.46,0.4179,0,4,4,Morning
190,2011-01-09,Spring,0,Jan,4,0,Sun,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,0,1,1,Morning
191,2011-01-09,Spring,0,Jan,5,0,Sun,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,0,1,1,Morning
192,2011-01-09,Spring,0,Jan,6,0,Sun,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0.2836,0,1,1,Morning
193,2011-01-09,Spring,0,Jan,7,0,Sun,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,1,5,6,Morning
194,2011-01-09,Spring,0,Jan,8,0,Sun,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0.2836,0,10,10,Afternoon
195,2011-01-09,Spring,0,Jan,9,0,Sun,0,Clear/Partly Cloudy,0.12,0.0758,0.46,0.5224,0,19,19,Afternoon
196,2011-01-09,Spring,0,Jan,10,0,Sun,0,Clear/Partly Cloudy,0.14,0.1061,0.43,0.3881,0,49,49,Afternoon
197,2011-01-09,Spring,0,Jan,11,0,Sun,0,Clear/Partly Cloudy,0.16,0.1212,0.4,0.5224,2,47,49,Afternoon
198,2011-01-09,Spring,0,Jan,12,0,Sun,0,Clear/Partly Cloudy,0.18,0.1364,0.37,0.4478,4,79,83,Afternoon
199,2011-01-09,Spring,0,Jan,13,0,Sun,0,Clear/Partly Cloudy,0.2,0.1667,0.34,0.4478,6,69,75,Afternoon
200,2011-01-09,Spring,0,Jan,14,0,Sun,0,Clear/Partly Cloudy,0.22,0.1818,0.32,0.4627,8,64,72,Afternoon
