dateday,total,registered,recency,frequency,monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score
2011-06-12,4460,2993,568,2993,4460,1,2,2,122,5
2011-06-13,5020,4157,567,4157,5020,1,3,3,133,7
2011-06-14,4891,4164,566,4164,4891,1,3,3,133,7
2011-06-15,5180,4411,565,4411,5180,1,3,3,133,7
2011-06-16,3767,3222,564,3222,3767,1,2,2,122,5
2011-06-17,4844,3981,563,3981,4844,1,3,3,133,7
2011-06-18,5119,3312,562,3312,5119,1,2,3,123,6
2011-06-19,4744,3105,561,3105,4744,1,2,3,123,6
2011-06-20,4010,3311,560,3311,4010,1,2,2,122,5
2011-06-21,4835,4061,559,4061,4835,1,3,3,133,7
2011-06-22,4507,3846,558,3846,4507,1,3,2,132,6
2011-06-23,4790,4044,557,4044,4790,1,3,3,133,7
2011-06-24,4991,4022,556,4022,4991,1,3,3,133,7
2011-06-25,5202,3420,555,3420,5202,1,2,3,123,6
2011-06-26,5305,3385,554,3385,5305,1,2,3,123,6
2011-06-27,4708,3854,553,3854,4708,1,3,3,133,7
2011-06-28,4648,3916,552,3916,4648,1,3,3,133,7
2011-06-29,5225,4377,551,4377,5225,1,3,3,133,7
2011-06-30,5515,4488,550,4488,5515,1,3,3,133,7
2011-07-01,5362,4116,549,4116,5362,1,3,3,133,7
2011-07-02,5119,2915,548,2915,5119,1,2,3,123,6
2011-07-03,4649,2367,547,2367,4649,2,1,3,213,6
2011-07-04,6043,2978,546,2978,6043,2,2,4,224,8
2011-07-05,4665,3634,545,3634,4665,2,2,3,223,7
2011-07-06,4629,3845,544,3845,4629,2,3,3,233,8
2011-07-07,4592,3838,543,3838,4592,2,3,3,233,8
2011-07-08,4040,3348,542,3348,4040,2,2,2,222,6
2011-07-09,5336,3348,541,3348,5336,2,2,3,223,7
2011-07-10,4881,3138,540,3138,4881,2,2,3,223,7
2011-07-11,4086,3363,539,3363,4086,2,2,2,222,6
2011-07-12,4258,3596,538,3596,4258,2,2,2,222,6
2011-07-13,4342,3594,537,3594,4342,2,2,2,222,6
2011-07-14,5084,4196,536,4196,5084,2,3,3,233,8
2011-07-15,5538,4220,535,4220,5538,2,3,3,233,8
2011-07-16,5923,3505,534,3505,5923,2,2,3,223,7
2011-07-17,5302,3296,533,3296,5302,2,2,3,223,7
2011-07-18,4458,3617,532,3617,4458,2,2,2,222,6
2011-07-19,4541,3789,531,3789,4541,2,3,2,232,7
2011-07-20,4332,3688,530,3688,4332,2,3,2,232,7
2011-07-21,3784,3152,529,3152,3784,2,2,2,222,6
2011-07-22,3387,2825,528,2825,3387,2,2,2,222,6
2011-07-23,3285,2298,527,2298,3285,2,1,2,212,5
2011-07-24,3606,2556,526,2556,3606,2,2,2,222,6
2011-07-25,3840,3272,525,3272,3840,2,2,2,222,6
2011-07-26,4590,3840,524,3840,4590,2,3,3,233,8
2011-07-27,4656,3901,523,3901,4656,2,3,3,233,8
2011-07-28,4390,3784,522,3784,4390,2,3,2,232,7
2011-07-29,3846,3176,521,3176,3846,2,2,2,222,6
2011-07-30,4475,2916,520,2916,4475,2,2,2,222,6
2011-07-31,4302,2778,519,2778,4302,2,2,2,222,6
2011-08-01,4266,3537,518,3537,4266,2,2,2,222,6
2011-08-02,4845,4044,517,4044,4845,2,3,3,233,8
2011-08-03,3574,3107,516,3107,3574,2,2,2,222,6
2011-08-04,4576,3777,515,3777,4576,2,3,3,233,8
2011-08-05,4866,3843,514,3843,4866,2,3,3,233,8
2011-08-06,4294,2773,513,2773,4294,2,2,2,222,6
2011-08-07,3785,2487,512,2487,3785,2,1,2,212,5
2011-08-08,4326,3480,511,3480,4326,2,2,2,222,6
2011-08-09,4602,3695,510,3695,4602,2,3,3,233,8
2011-08-10,4780,3896,509,3896,4780,2,3,3,233,8
2011-08-11,4792,3980,508,3980,4792,2,3,3,233,8
2011-08-12,4905,3854,507,3854,4905,2,3,3,233,8
2011-08-13,4150,2646,506,2646,4150,2,2,2,222,6
2011-08-14,3820,2482,505,2482,3820,2,1,2,212,5
2011-08-15,4338,3563,504,3563,4338,2,2,2,222,6
2011-08-16,4725,4004,503,4004,4725,2,3,3,233,8
2011-08-17,4694,4026,502,4026,4694,2,3,3,233,8
2011-08-18,3805,3166,501,3166,3805,2,2,2,222,6
2011-08-19,4153,3356,500,3356,4153,2,2,2,222,6
2011-08-20,5191,3277,499,3277,5191,2,2,3,223,7
2011-08-21,3873,2624,498,2624,3873,2,2,2,222,6
2011-08-22,4758,3925,497,3925,4758,2,3,3,233,8
2011-08-23,5895,4614,496,4614,5895,2,3,3,233,8
2011-08-24,5130,4181,495,4181,5130,2,3,3,233,8
2011-08-25,3542,3107,494,3107,3542,2,2,2,222,6
2011-08-26,4661,3893,493,3893,4661,2,3,3,233,8
2011-08-27,1115,889,492,889,1115,2,1,1,211,4
2011-08-28,4334,2919,491,2919,4334,2,2,2,222,6
2011-08-29,4634,3905,490,3905,4634,2,3,3,233,8
2011-08-30,5204,4429,489,4429,5204,2,3,3,233,8
2011-08-31,5058,4370,488,4370,5058,2,3,3,233,8
2011-09-01,5115,4332,487,4332,5115,2,3,3,233,8
2011-09-02,4727,3852,486,3852,4727,2,3,3,233,8
2011-09-03,4484,2549,485,2549,4484,2,2,2,222,6
2011-09-04,4940,2419,484,2419,4940,2,1,3,213,6
2011-09-05,3351,2115,483,2115,3351,2,1,2,212,5
2011-09-06,2710,2506,482,2506,2710,2,2,1,221,5
2011-09-07,1996,1878,481,1878,1996,2,1,1,211,4
2011-09-08,1842,1689,480,1689,1842,2,1,1,211,4
2011-09-09,3544,3127,479,3127,3544,2,2,2,222,6
2011-09-10,5345,3595,478,3595,5345,2,2,3,223,7
2011-09-11,5046,3413,477,3413,5046,2,2,3,223,7
2011-09-12,4713,4023,476,4023,4713,2,3,3,233,8
2011-09-13,4763,4062,475,4062,4763,2,3,3,233,8
2011-09-14,4785,4138,474,4138,4785,2,3,3,233,8
2011-09-15,3659,3231,473,3231,3659,2,2,2,222,6
2011-09-16,4760,4018,472,4018,4760,2,3,3,233,8
2011-09-17,4511,3077,471,3077,4511,2,2,2,222,6
2011-09-18,4274,2921,470,2921,4274,2,2,2,222,6
2011-09-19,4539,3848,469,3848,4539,2,3,2,232,7
2011-09-20,3641,3203,468,3203,3641,2,2,2,222,6
2011-09-21,4352,3813,467,3813,4352,2,3,2,232,7
2011-09-22,4795,4240,466,4240,4795,2,3,3,233,8
2011-09-23,2395,2137,465,2137,2395,2,1,1,211,4
2011-09-24,5423,3647,464,3647,5423,2,2,3,223,7
2011-09-25,5010,3466,463,3466,5010,2,2,3,223,7
2011-09-26,4630,3946,462,3946,4630,2,3,3,233,8
2011-09-27,4120,3643,461,3643,4120,2,2,2,222,6
2011-09-28,3907,3427,460,3427,3907,2,2,2,222,6
2011-09-29,4839,4186,459,4186,4839,2,3,3,233,8
2011-09-30,5202,4372,458,4372,5202,2,3,3,233,8
2011-10-01,2429,1949,457,1949,2429,2,1,1,211,4
2011-10-02,2918,2302,456,2302,2918,2,1,1,211,4
2011-10-03,3570,3240,455,3240,3570,2,2,2,222,6
2011-10-04,4456,3970,454,3970,4456,2,3,2,232,7
2011-10-05,4826,4267,453,4267,4826,2,3,3,233,8
2011-10-06,4765,4126,452,4126,4765,2,3,3,233,8
2011-10-07,4985,4036,451,4036,4985,2,3,3,233,8
2011-10-08,5409,3174,450,3174,5409,2,2,3,223,7
2011-10-09,5511,3114,449,3114,5511,2,2,3,223,7
2011-10-10,5117,3603,448,3603,5117,2,2,3,223,7
2011-10-11,4563,3896,447,3896,4563,2,3,3,233,8
2011-10-12,2416,2199,446,2199,2416,2,1,1,211,4
2011-10-13,2913,2623,445,2623,2913,2,2,1,221,5
2011-10-14,3644,3115,444,3115,3644,2,2,2,222,6
2011-10-15,5217,3318,443,3318,5217,2,2,3,223,7
2011-10-16,5041,3293,442,3293,5041,2,2,3,223,7
2011-10-17,4570,3857,441,3857,4570,2,3,3,233,8
2011-10-18,4748,4111,440,4111,4748,2,3,3,233,8
2011-10-19,2424,2170,439,2170,2424,2,1,1,211,4
2011-10-20,4195,3724,438,3724,4195,2,3,2,232,7
2011-10-21,4304,3628,437,3628,4304,2,2,2,222,6
2011-10-22,4308,2809,436,2809,4308,2,2,2,222,6
2011-10-23,4381,2762,435,2762,4381,2,2,2,222,6
2011-10-24,4187,3488,434,3488,4187,2,2,2,222,6
2011-10-25,4687,3992,433,3992,4687,2,3,3,233,8
2011-10-26,3894,3490,432,3490,3894,2,2,2,222,6
2011-10-27,2659,2419,431,2419,2659,2,1,1,211,4
2011-10-28,3747,3291,430,3291,3747,2,2,2,222,6
2011-10-29,627,570,429,570,627,2,1,1,211,4
2011-10-30,3331,2446,428,2446,3331,2,1,2,212,5
2011-10-31,3669,3307,427,3307,3669,2,2,2,222,6
2011-11-01,4068,3658,426,3658,4068,2,2,2,222,6
2011-11-02,4186,3816,425,3816,4186,2,3,2,232,7
2011-11-03,3974,3656,424,3656,3974,2,2,2,222,6
2011-11-04,4046,3576,423,3576,4046,2,2,2,222,6
2011-11-05,3926,2770,422,2770,3926,2,2,2,222,6
2011-11-06,3649,2697,421,2697,3649,2,2,2,222,6
2011-11-07,4035,3662,420,3662,4035,2,2,2,222,6
2011-11-08,4205,3829,419,3829,4205,2,3,2,232,7
2011-11-09,4109,3804,418,3804,4109,2,3,2,232,7
2011-11-10,2933,2743,417,2743,2933,2,2,1,221,5
2011-11-11,3368,2928,416,2928,3368,2,2,2,222,6
2011-11-12,4067,2792,415,2792,4067,2,2,2,222,6
2011-11-13,3717,2713,414,2713,3717,2,2,2,222,6
2011-11-14,4486,3891,413,3891,4486,2,3,2,232,7
2011-11-15,4195,3746,412,3746,4195,2,3,2,232,7
2011-11-16,1817,1672,411,1672,1817,2,1,1,211,4
2011-11-17,3053,2914,410,2914,3053,2,2,1,221,5
2011-11-18,3392,3147,409,3147,3392,2,2,2,222,6
2011-11-19,3663,2720,408,2720,3663,2,2,2,222,6
2011-11-20,3520,2733,407,2733,3520,2,2,2,222,6
2011-11-21,2765,2545,406,2545,2765,2,2,1,221,5
2011-11-22,1607,1538,405,1538,1607,2,1,1,211,4
2011-11-23,2566,2454,404,2454,2566,2,1,1,211,4
2011-11-24,1495,935,403,935,1495,2,1,1,211,4
2011-11-25,2792,1697,402,1697,2792,2,1,1,211,4
2011-11-26,3068,1819,401,1819,3068,2,1,1,211,4
2011-11-27,3071,2261,400,2261,3071,2,1,1,211,4
2011-11-28,3867,3614,399,3614,3867,2,2,2,222,6
2011-11-29,2914,2818,398,2818,2914,2,2,1,221,5
2011-11-30,3613,3425,397,3425,3613,2,2,2,222,6
2011-12-01,3727,3545,396,3545,3727,2,2,2,222,6
2011-12-02,3940,3672,395,3672,3940,2,3,2,232,7
2011-12-03,3614,2908,394,2908,3614,2,2,2,222,6
2011-12-04,3485,2851,393,2851,3485,2,2,2,222,6
2011-12-05,3811,3578,392,3578,3811,2,2,2,222,6
2011-12-06,2594,2468,391,2468,2594,2,1,1,211,4
2011-12-07,705,655,390,655,705,2,1,1,211,4
2011-12-08,3322,3172,389,3172,3322,2,2,2,222,6
2011-12-09,3620,3359,388,3359,3620,2,2,2,222,6
2011-12-10,3190,2688,387,2688,3190,2,2,2,222,6
2011-12-11,2743,2366,386,2366,2743,2,1,1,211,4
2011-12-12,3310,3167,385,3167,3310,2,2,2,222,6
2011-12-13,3523,3368,384,3368,3523,2,2,2,222,6
2011-12-14,3740,3562,383,3562,3740,2,2,2,222,6
2011-12-15,3709,3528,382,3528,3709,2,2,2,222,6
2011-12-16,3577,3399,381,3399,3577,2,2,2,222,6
2011-12-17,2739,2464,380,2464,2739,2,1,1,211,4
2011-12-18,2431,2211,379,2211,2431,2,1,1,211,4
2011-12-19,3403,3143,378,3143,3403,2,2,2,222,6
2011-12-20,3750,3534,377,3534,3750,2,2,2,222,6
2011-12-21,2660,2553,376,2553,2660,2,2,1,221,5
2011-12-22,3068,2841,375,2841,3068,2,2,1,221,5
2011-12-23,2209,2046,374,2046,2209,2,1,1,211,4
2011-12-24,1011,856,373,856,1011,2,1,1,211,4
2011-12-25,754,451,372,451,754,2,1,1,211,4
2011-12-26,1317,887,371,887,1317,2,1,1,211,4
2011-12-27,1162,1059,370,1059,1162,2,1,1,211,4
2011-12-28,2302,2047,369,2047,2302,2,1,1,211,4
2011-12-29,2423,2169,368,2169,2423,2,1,1,211,4
2011-12-30,2999,2508,367,2508,2999,2,2,1,221,5
2011-12-31,2485,1820,366,1820,2485,2,1,1,211,4
2012-01-01,2294,1608,365,1608,2294,3,1,1,311,5
2012-01-02,1951,1707,364,1707,1951,3,1,1,311,5
2012-01-03,2236,2147,363,2147,2236,3,1,1,311,5
2012-01-04,2368,2273,362,2273,2368,3,1,1,311,5
2012-01-05,3272,3132,361,3132,3272,3,2,2,322,7
2012-01-06,4098,3791,360,3791,4098,3,3,2,332,8
2012-01-07,4521,3451,359,3451,4521,3,2,2,322,7
2012-01-08,3425,2826,358,2826,3425,3,2,2,322,7
2012-01-09,2376,2270,357,2270,2376,3,1,1,311,5
2012-01-10,3598,3425,356,3425,3598,3,2,2,322,7
2012-01-11,2177,2085,355,2085,2177,3,1,1,311,5
2012-01-12,4097,3828,354,3828,4097,3,3,2,332,8
2012-01-13,3214,3040,353,3040,3214,3,2,2,322,7
2012-01-14,2493,2160,352,2160,2493,3,1,1,311,5
2012-01-15,2311,2027,351,2027,2311,3,1,1,311,5
2012-01-16,2298,2081,350,2081,2298,3,1,1,311,5
2012-01-17,2935,2808,349,2808,2935,3,2,1,321,6
2012-01-18,3376,3267,348,3267,3376,3,2,2,322,7
2012-01-19,3292,3162,347,3162,3292,3,2,2,322,7
2012-01-20,3163,3048,346,3048,3163,3,2,2,322,7
2012-01-21,1301,1234,345,1234,1301,3,1,1,311,5
2012-01-22,1977,1781,344,1781,1977,3,1,1,311,5
2012-01-23,2432,2287,343,2287,2432,3,1,1,311,5
2012-01-24,4339,3900,342,3900,4339,3,3,2,332,8
2012-01-25,4270,3803,341,3803,4270,3,3,2,332,8
2012-01-26,4075,3831,340,3831,4075,3,3,2,332,8
2012-01-27,3456,3187,339,3187,3456,3,2,2,322,7
2012-01-28,4023,3248,338,3248,4023,3,2,2,322,7
2012-01-29,3243,2685,337,2685,3243,3,2,2,322,7
2012-01-30,3624,3498,336,3498,3624,3,2,2,322,7
2012-01-31,4509,4185,335,4185,4509,3,3,2,332,8
2012-02-01,4579,4275,334,4275,4579,3,3,3,333,9
2012-02-02,3761,3571,333,3571,3761,3,2,2,322,7
2012-02-03,4151,3841,332,3841,4151,3,3,2,332,8
2012-02-04,2832,2448,331,2448,2832,3,1,1,311,5
2012-02-05,2947,2629,330,2629,2947,3,2,1,321,6
2012-02-06,3784,3578,329,3578,3784,3,2,2,322,7
2012-02-07,4375,4176,328,4176,4375,3,3,2,332,8
2012-02-08,2802,2693,327,2693,2802,3,2,1,321,6
2012-02-09,3830,3667,326,3667,3830,3,3,2,332,8
2012-02-10,3831,3604,325,3604,3831,3,2,2,322,7
2012-02-11,2169,1977,324,1977,2169,3,1,1,311,5
2012-02-12,1529,1456,323,1456,1529,3,1,1,311,5
2012-02-13,3422,3328,322,3328,3422,3,2,2,322,7
2012-02-14,3922,3787,321,3787,3922,3,3,2,332,8
2012-02-15,4169,4028,320,4028,4169,3,3,2,332,8
2012-02-16,3005,2931,319,2931,3005,3,2,1,321,6
2012-02-17,4154,3805,318,3805,4154,3,3,2,332,8
2012-02-18,4318,2883,317,2883,4318,3,2,2,322,7
2012-02-19,2689,2071,316,2071,2689,3,1,1,311,5
2012-02-20,3129,2627,315,2627,3129,3,2,1,321,6
2012-02-21,3777,3614,314,3614,3777,3,2,2,322,7
2012-02-22,4773,4379,313,4379,4773,3,3,3,333,9
2012-02-23,5062,4546,312,4546,5062,3,3,3,333,9
2012-02-24,3487,3241,311,3241,3487,3,2,2,322,7
2012-02-25,2732,2415,310,2415,2732,3,1,1,311,5
2012-02-26,3389,2874,309,2874,3389,3,2,2,322,7
2012-02-27,4322,4069,308,4069,4322,3,3,2,332,8
2012-02-28,4363,4134,307,4134,4363,3,3,2,332,8
2012-02-29,1834,1769,306,1769,1834,3,1,1,311,5
2012-03-01,4990,4665,305,4665,4990,3,3,3,333,9
2012-03-02,3194,2948,304,2948,3194,3,2,2,322,7
2012-03-03,4066,3110,303,3110,4066,3,2,2,322,7
2012-03-04,3423,2713,302,2713,3423,3,2,2,322,7
2012-03-05,3333,3130,301,3130,3333,3,2,2,322,7
2012-03-06,3956,3735,300,3735,3956,3,3,2,332,8
2012-03-07,4916,4484,299,4484,4916,3,3,3,333,9
2012-03-08,5382,4896,298,4896,5382,3,4,3,343,10
2012-03-09,4569,4122,297,4122,4569,3,3,3,333,9
2012-03-10,4118,3150,296,3150,4118,3,2,2,322,7
2012-03-11,4911,3253,295,3253,4911,3,2,3,323,8
2012-03-12,5298,4460,294,4460,5298,3,3,3,333,9
2012-03-13,5847,5085,293,5085,5847,3,4,3,343,10
2012-03-14,6312,5315,292,5315,6312,3,4,4,344,11
2012-03-15,6192,5187,291,5187,6192,3,4,4,344,11
2012-03-16,4378,3830,290,3830,4378,3,3,2,332,8
2012-03-17,7836,4681,289,4681,7836,3,3,4,334,10
2012-03-18,5892,3685,288,3685,5892,3,3,3,333,9
2012-03-19,6153,5171,287,5171,6153,3,4,4,344,11
2012-03-20,6093,5042,286,5042,6093,3,4,4,344,11
2012-03-21,6230,5108,285,5108,6230,3,4,4,344,11
2012-03-22,6871,5537,284,5537,6871,3,4,4,344,11
2012-03-23,8362,5893,283,5893,8362,3,4,4,344,11
2012-03-24,3372,2339,282,2339,3372,3,1,2,312,6
2012-03-25,4996,3464,281,3464,4996,3,2,3,323,8
2012-03-26,5558,4763,280,4763,5558,3,3,3,333,9
